Category;Aspect;Original_Human_Experiment;AI_Implementation;Deviation_Type;Necessity_Classification;Motivation_Source
Voting Mechanism;Consensus Requirement;Agreement through discussion;Unanimous agreement on both principle and constraints;Formalization;Design-Contingent;Codebase: consensus validation in voting service
Voting Mechanism;Number Format Handling;Natural number expression;Multilingual number format parsing (cultural variations);Addition;Necessary;Codebase: cultural_adaptation.py handles number formats
Voting Mechanism;Invalid Vote Handling;Clarification through discussion;Retry mechanisms with timeouts and fallback strategies;Addition;Necessary;Codebase: VotingService retry_limit settings
Memory Management;Memory Structure;Natural human memory with biological constraints;Computational memory with explicit character limits per agent;Formalization;Necessary;Codebase: MemoryService with configurable limits
Memory Management;Memory Compression;Natural forgetting and consolidation;Algorithmic compression when approaching character limits;Addition;Necessary;Codebase: MemoryService compression when exceeding thresholds
Memory Management;Memory Update Strategy;Continuous memory formation;Event-based memory updates (discussion/voting/results);Formalization;Necessary;Codebase: MemoryService routes updates by event type
Memory Management;Memory Guidance Style;Not applicable;Configurable guidance styles (narrative/structured);Addition;Voluntary;Codebase: MemoryService supports different formatting
Memory Management;Internal Reasoning Storage;Not applicable;Optional inclusion of internal reasoning in memory;Addition;Voluntary;Codebase: MemoryService can include internal reasoning
Memory Management;Memory Truncation;Not applicable;Intelligent content preservation when truncating;Addition;Necessary;Codebase: MemoryService truncation algorithms
Communication Structure;Communication Mode;Face-to-face verbal discussion;Text-based prompt-response interactions;Assumption;Necessary;Thesis: fundamental constraint of LLM interaction
Communication Structure;Turn Taking;Natural interruption and overlap possible;Strict sequential turn-based system;Formalization;Necessary;Codebase: Phase2Manager coordinates sequential agent calls
Communication Structure;Non-verbal Cues;Body language and tone available;Text-only communication without non-verbal information;Removal;Necessary;Thesis: inherent limitation of text-based AI agents
Communication Structure;Real-time Interaction;Synchronous real-time discussion;Asynchronous API calls with response timeouts;Formalization;Necessary;Codebase: timeout settings in Phase2Settings
Communication Structure;Group Awareness;Physical presence of all participants;Explicit group composition provided in prompts;Formalization;Necessary;Codebase: DiscussionService formats group composition
Income Distributions;Distribution Source;Four specific situations (A-D) from original study;Both original values mode and dynamic generation available;Addition;Voluntary;Codebase: original_values_data.py vs distribution_generator.py
Income Distributions;Probability Calculations;Original probability values;Recalculated probabilities with necessary assumptions for Situation C;Assumption;Necessary;Thesis: probability solution issues required assumptions
Income Distributions;Distribution Variation;Fixed four situations;Configurable base distributions with multiplier ranges;Addition;Voluntary;Codebase: DistributionGenerator allows parametric variation
Income Distributions;Class Structure;Five income classes (high to low);Five income classes maintained with same structure;Design Choice;Design-Contingent;Codebase: maintains original five-class structure
Income Distributions;Distribution Presentation;Tabular presentation to subjects;Structured prompts with distribution details;Formalization;Necessary;Codebase: prompts format distribution information
Payoff Calculation;Payment Type;Real monetary payment to subjects;Counterfactual analysis without actual payment;Formalization;Necessary;Codebase: CounterfactualsService calculates hypothetical outcomes
Payoff Calculation;Payoff Presentation;Single actual payment received;Detailed counterfactual results showing all principle outcomes;Addition;Voluntary;Codebase: CounterfactualsService.format_detailed_results()
Payoff Calculation;Ranking Collection;Not collected post-payment;Final rankings collected after seeing counterfactual results;Addition;Voluntary;Codebase: CounterfactualsService.collect_final_rankings()
Payoff Calculation;Results Transparency;Subjects know their actual payment;Agents see outcomes under all four principles simultaneously;Addition;Voluntary;Codebase: comprehensive counterfactual presentation
Principle Constraints;Floor Constraint Options;Range of floor constraint values;Specific floor values validated and constrained;Formalization;Design-Contingent;Codebase: numerical validation in TwoStageVotingManager
Principle Constraints;Range Constraint Options;Range constraint values;Specific range values validated and constrained;Formalization;Design-Contingent;Codebase: constraint validation and tolerance
Principle Constraints;Constraint Validation;Manual verification by experimenters;Automated numerical validation with tolerance parameters;Formalization;Necessary;Codebase: Phase2Settings.constraint_tolerance
Principle Constraints;Novel Principles;Subjects could propose novel principles;Novel principles explicitly restricted;Removal;Voluntary;Thesis Table 2: explicit deviation - novel principles not allowed
Principle Constraints;Principle Terminology;Standard presentation;Managed through PrincipleNameManager for consistency;Addition;Necessary;Codebase: principle_name_manager.py ensures consistent naming
Language and Prompts;Experimenter Instructions;Verbal instructions from human experimenter;Structured JSON prompts for all experimental stages;Formalization;Necessary;Codebase: translations/english_prompts.json
Language and Prompts;Veil of Ignorance Framing;Conceptual explanation by experimenter;Explicit veil of ignorance reinforcement in prompts;Formalization;Design-Contingent;Codebase: prompts emphasize original position perspective
Language and Prompts;Question Asking;Natural questions to experimenter;Not explicitly supported in agent interactions;Removal;Design-Contingent;Codebase: no dedicated question-answering mechanism
Language and Prompts;Clarification Mechanism;Experimenter available for clarification;Retry prompts with additional context on failures;Formalization;Necessary;Codebase: validation and retry mechanisms
Language and Prompts;Translation System;Single language per experiment;Complete translation system with language manager;Addition;Voluntary;Codebase: translations/ directory and LanguageManager
Time Management;Session Timing;Variable session length;Fixed maximum rounds with configurable limits;Formalization;Design-Contingent;Thesis Table 2: computational tractability
Time Management;Discussion Time;Open-ended until consensus;Maximum 10 rounds default (configurable);Formalization;Design-Contingent;Codebase: Phase2Settings.max_rounds
Time Management;Response Timeouts;Not applicable;API timeout settings for agent responses;Addition;Necessary;Codebase: timeout parameters in Phase2Settings
Time Management;Retry Time Limits;Not applicable;Configurable retry attempts with timeout constraints;Addition;Necessary;Codebase: validation retry settings
Novel Elements;Manipulator Agents;Not present in original design;Manipulator agents for hypothesis testing (e.g. advocate specific principles);Addition;Voluntary;Codebase: manipulator configurations in hypothesis_testing/
Novel Elements;Cultural Variations;Single cultural context (American university students);Explicit cultural adaptation testing (American/Chinese variations);Addition;Voluntary;Codebase: hypothesis_2/ cultural variations
Novel Elements;Inequality Variations;Fixed distributions;Systematic inequality variation testing (low/medium/high);Addition;Voluntary;Codebase: hypothesis_3/ inequality variations
Novel Elements;Batch Execution;Individual experiment sessions;Batch execution framework for multiple experimental conditions;Addition;Voluntary;Codebase: utils/experiment_runner.py and hypothesis testing framework
Novel Elements;Tracing and Observability;Manual experimenter notes;Automated tracing with OpenAI Agents SDK trace URLs;Addition;Voluntary;Codebase: trace context management in experiment_manager
Novel Elements;Transcript Logging;Manual notes and audio/video recording;Optional structured transcript logging with privacy controls;Addition;Voluntary;Codebase: transcript_logging configuration
Novel Elements;Statistical Analysis Integration;Manual statistical analysis;Integrated Fisher-Freeman-Halton exact test framework;Addition;Voluntary;Thesis: statistical testing of hypotheses
Novel Elements;Temperature Control;Not applicable;Configurable LLM temperature parameter for response randomness;Addition;Necessary;Codebase: AgentConfiguration.temperature setting
Reasoning and Transparency;Internal Deliberation;Private human thought process;Optional internal reasoning prompts for strategic planning;Addition;Voluntary;Codebase: Chain of Thought prompts in translations
Reasoning and Transparency;Decision Explanation;Natural verbal explanation;No structured explanation prompts after rankings or votes; agents may naturally explain positions in discussion statements;Removal;Necessary;Codebase: ranking prompts request only numbered rankings and certainty; voting is purely numerical (1-4)
Reasoning and Transparency;Thought Process Access;Not accessible;Optional capture of internal reasoning for analysis;Addition;Voluntary;Codebase: internal reasoning can be logged in transcripts
Architectural Elements;Services Architecture;Not applicable (human experiment);Services-first architecture with specialized services;Addition;Necessary;Codebase: core/services/ directory with SpeakingOrderService/DiscussionService/VotingService/MemoryService/CounterfactualsService
Architectural Elements;Protocol-Based Dependencies;Not applicable;Protocol-based dependency injection for service testing;Addition;Voluntary;Codebase: service protocols for clean testing
Architectural Elements;Configuration Validation;Manual protocol verification;Pydantic model validation for all configurations;Addition;Necessary;Codebase: config/models.py with validation
Architectural Elements;Phase Separation;Conceptual phases;Explicit Phase1Manager and Phase2Manager separation;Formalization;Necessary;Codebase: core/phase1_manager.py and core/phase2_manager.py
Architectural Elements;State Management;Experimenter tracking;Explicit state management and results compilation;Formalization;Necessary;Codebase: experiment_manager coordinates state
Model Provider Support;Model Selection;Human subjects (no model concept);Support for multiple LLM providers (OpenAI/Gemini/OpenRouter/Ollama);Addition;Necessary;Codebase: model provider detection and routing
Model Provider Support;Model Configuration;Not applicable;Per-agent model configuration with provider-specific handling;Addition;Voluntary;Codebase: AgentConfiguration.model with provider detection
Testing and Validation;Experimental Validity;Standard experimental protocols;Comprehensive test suite with unit/component/integration layers;Addition;Voluntary;Codebase: tests/ directory with multi-tier testing
Testing and Validation;Response Validation;Natural human responses;Automated validation of agent responses with retry logic;Addition;Necessary;Codebase: utility agents for parsing and validation
Testing and Validation;Consensus Validation;Experimenter verification;Automated consensus validation algorithms;Formalization;Necessary;Codebase: voting service validates unanimous agreement
Testing and Validation;Language Coverage Testing;Not applicable;Multilingual test coverage requirements (English/Spanish/Mandarin);Addition;Voluntary;Codebase: test suite enforces language coverage
Data Collection;Results Format;Manual data recording;Structured JSON output with complete experiment state;Formalization;Necessary;Codebase: results compiled by experiment_manager
Data Collection;Audit Trail;Manual notes;Complete structured logs with all agent interactions;Addition;Voluntary;Codebase: transcript logging captures full audit trail
Data Collection;Experiment Metadata;Basic session information;Comprehensive metadata (config/timestamps/traces/consensus);Addition;Voluntary;Codebase: ExperimentResults dataclass
